threshold,accuracy,recall,precision,f1,specificity,fp,fn
0.7000000000000004,0.844272311573636,0.2876797998749218,0.5104305370616955,0.3679705623550116,0.9483867948807936,2206,5695
0.7100000000000004,0.8456322926521602,0.2622889305816135,0.520218308112131,0.34874438716115086,0.9547507077513394,1934,5898
0.7200000000000004,0.8464798170923998,0.24527829893683553,0.5277179763186222,0.33489881308171804,0.9589387239418825,1755,6034
0.7300000000000004,0.8467951750236519,0.22276422764227644,0.5332335329341318,0.3142479047198941,0.9635244846868346,1559,6214
0.7400000000000004,0.8476624093345948,0.19349593495934958,0.5470297029702971,0.2858726785549293,0.9700287779883484,1281,6448
0.7500000000000004,0.847682119205298,0.17410881801125705,0.5530393325387366,0.2648401826484018,0.9736786691935144,1125,6603
0.7600000000000005,0.8476624093345948,0.15834896810506566,0.558693733451015,0.24675957509014715,0.9766032615053462,1000,6729
0.7700000000000005,0.847445600756859,0.14146341463414633,0.5635276532137519,0.22615476904619075,0.9795044570786833,876,6864
0.7800000000000005,0.847839798170924,0.12995622263914947,0.5762617859123683,0.21208409879567258,0.9821248917900844,764,6956
0.7900000000000005,0.8479383475244402,0.11844903064415259,0.5867410161090458,0.1971068789676345,0.9843943754240659,667,7048
0.8000000000000005,0.8478003784295175,0.10531582238899312,0.5967399007795889,0.17903465872847119,0.9866872557965419,569,7153
